"","year","origin","asylum","population_type","population"
"283","2023","Palestinian","Lebanon","total",492833
"284","2023","Palestinian","Lebanon","f_minor_all",51452
"285","2023","Palestinian","Lebanon","m_minor_all",54590
"286","2023","Palestinian","Syrian Arab Rep.","female_0-4",16964
"287","2023","Palestinian","Syrian Arab Rep.","female_5-11",32028
"288","2023","Palestinian","Syrian Arab Rep.","female_12-17",34270
"289","2023","Palestinian","Syrian Arab Rep.","female_18-59",164719
"290","2023","Palestinian","Syrian Arab Rep.","female_60",45931
"291","2023","Palestinian","Syrian Arab Rep.","female_total",293912
"292","2023","Palestinian","Syrian Arab Rep.","male_0-4",17274
"293","2023","Palestinian","Syrian Arab Rep.","male_5-11",33396
"294","2023","Palestinian","Syrian Arab Rep.","male_12-17",35867
"295","2023","Palestinian","Syrian Arab Rep.","male_18-59",166821
"296","2023","Palestinian","Syrian Arab Rep.","male_60",39308
"297","2023","Palestinian","Syrian Arab Rep.","male_total",292666
"298","2023","Palestinian","Syrian Arab Rep.","total",586578
"299","2023","Palestinian","Syrian Arab Rep.","f_minor_all",83262
"300","2023","Palestinian","Syrian Arab Rep.","m_minor_all",86537
