"","year","origin","asylum","population_type","population","gender","age"
"238","2022","Palestinian","Syrian Arab Rep.","total",580723,"total",""
"239","2022","Palestinian","Syrian Arab Rep.","f_minor_all",84913,"f","minor_all"
"240","2022","Palestinian","Syrian Arab Rep.","m_minor_all",88561,"m","minor_all"
"241","2023","Palestinian","State of Palestine","female_0-4",104632,"female","0-4"
"242","2023","Palestinian","State of Palestine","female_5-11",178447,"female","5-11"
"243","2023","Palestinian","State of Palestine","female_12-17",152950,"female","12-17"
"244","2023","Palestinian","State of Palestine","female_18-59",648792,"female","18-59"
"245","2023","Palestinian","State of Palestine","female_60",148503,"female","60"
"246","2023","Palestinian","State of Palestine","female_total",1233324,"female","total"
"247","2023","Palestinian","State of Palestine","male_0-4",111357,"male","0-4"
"248","2023","Palestinian","State of Palestine","male_5-11",188384,"male","5-11"
"249","2023","Palestinian","State of Palestine","male_12-17",159770,"male","12-17"
"250","2023","Palestinian","State of Palestine","male_18-59",672616,"male","18-59"
"251","2023","Palestinian","State of Palestine","male_60",131243,"male","60"
"252","2023","Palestinian","State of Palestine","male_total",1263370,"male","total"
"253","2023","Palestinian","State of Palestine","total",2496694,"total",""
"254","2023","Palestinian","State of Palestine","f_minor_all",436029,"f","minor_all"
"255","2023","Palestinian","State of Palestine","m_minor_all",459511,"m","minor_all"
"256","2023","Palestinian","Jordan","female_0-4",38871,"female","0-4"
"257","2023","Palestinian","Jordan","female_5-11",109845,"female","5-11"
"258","2023","Palestinian","Jordan","female_12-17",129304,"female","12-17"
"259","2023","Palestinian","Jordan","female_18-59",709550,"female","18-59"
"260","2023","Palestinian","Jordan","female_60",182547,"female","60"
"261","2023","Palestinian","Jordan","female_total",1170117,"female","total"
"262","2023","Palestinian","Jordan","male_0-4",41415,"male","0-4"
"263","2023","Palestinian","Jordan","male_5-11",115346,"male","5-11"
"264","2023","Palestinian","Jordan","male_12-17",135901,"male","12-17"
"265","2023","Palestinian","Jordan","male_18-59",741796,"male","18-59"
"266","2023","Palestinian","Jordan","male_60",187956,"male","60"
"267","2023","Palestinian","Jordan","male_total",1222414,"male","total"
"268","2023","Palestinian","Jordan","total",2392531,"total",""
"269","2023","Palestinian","Jordan","f_minor_all",278020,"f","minor_all"
"270","2023","Palestinian","Jordan","m_minor_all",292662,"m","minor_all"
"271","2023","Palestinian","Lebanon","female_0-4",10852,"female","0-4"
"272","2023","Palestinian","Lebanon","female_5-11",21147,"female","5-11"
"273","2023","Palestinian","Lebanon","female_12-17",19453,"female","12-17"
"274","2023","Palestinian","Lebanon","female_18-59",142267,"female","18-59"
"275","2023","Palestinian","Lebanon","female_60",49304,"female","60"
"276","2023","Palestinian","Lebanon","female_total",243023,"female","total"
"277","2023","Palestinian","Lebanon","male_0-4",11413,"male","0-4"
"278","2023","Palestinian","Lebanon","male_5-11",22558,"male","5-11"
"279","2023","Palestinian","Lebanon","male_12-17",20619,"male","12-17"
"280","2023","Palestinian","Lebanon","male_18-59",146929,"male","18-59"
"281","2023","Palestinian","Lebanon","male_60",48291,"male","60"
"282","2023","Palestinian","Lebanon","male_total",249810,"male","total"
"283","2023","Palestinian","Lebanon","total",492833,"total",""
"284","2023","Palestinian","Lebanon","f_minor_all",51452,"f","minor_all"
"285","2023","Palestinian","Lebanon","m_minor_all",54590,"m","minor_all"
"286","2023","Palestinian","Syrian Arab Rep.","female_0-4",16964,"female","0-4"
"287","2023","Palestinian","Syrian Arab Rep.","female_5-11",32028,"female","5-11"
"288","2023","Palestinian","Syrian Arab Rep.","female_12-17",34270,"female","12-17"
"289","2023","Palestinian","Syrian Arab Rep.","female_18-59",164719,"female","18-59"
"290","2023","Palestinian","Syrian Arab Rep.","female_60",45931,"female","60"
"291","2023","Palestinian","Syrian Arab Rep.","female_total",293912,"female","total"
"292","2023","Palestinian","Syrian Arab Rep.","male_0-4",17274,"male","0-4"
"293","2023","Palestinian","Syrian Arab Rep.","male_5-11",33396,"male","5-11"
"294","2023","Palestinian","Syrian Arab Rep.","male_12-17",35867,"male","12-17"
"295","2023","Palestinian","Syrian Arab Rep.","male_18-59",166821,"male","18-59"
"296","2023","Palestinian","Syrian Arab Rep.","male_60",39308,"male","60"
"297","2023","Palestinian","Syrian Arab Rep.","male_total",292666,"male","total"
"298","2023","Palestinian","Syrian Arab Rep.","total",586578,"total",""
"299","2023","Palestinian","Syrian Arab Rep.","f_minor_all",83262,"f","minor_all"
"300","2023","Palestinian","Syrian Arab Rep.","m_minor_all",86537,"m","minor_all"
